pokedex_id,name,genus,generation,type_1,type_2,num_types,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,ability_1,ability_2,hidden_ability,color,shape,habitat,growth_rate,egg_groups,is_legendary,is_mythical,is_baby,capture_rate,base_happiness,hatch_counter,gender_rate,description,sprite_url,is_dual_type,bmi,attack_defense_ratio,physical_total,special_total,offensive_total,defensive_total,gender_distribution,stat_tier
1,bulbasaur,Seed Pokémon,I,grass,poison,2,45,49,49,65,65,45,318,0.7,6.9,64,overgrow,,chlorophyll,green,quadruped,grassland,medium-slow,"monster, plant",False,False,False,45,70,20,1,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,True,14.1,1.0,98,130,159,159,88% Male / 12% Female,Below Average (300-399)
2,ivysaur,Seed Pokémon,I,grass,poison,2,60,62,63,80,80,60,405,1.0,13.0,142,overgrow,,chlorophyll,green,quadruped,grassland,medium-slow,"monster, plant",False,False,False,45,70,20,1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,True,13.0,0.98,125,160,202,203,88% Male / 12% Female,Average (400-499)
3,venusaur,Seed Pokémon,I,grass,poison,2,80,82,83,100,100,80,525,2.0,100.0,236,overgrow,,chlorophyll,green,quadruped,grassland,medium-slow,"monster, plant",False,False,False,45,70,20,1,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,True,25.0,0.99,165,200,262,263,88% Male / 12% Female,Strong (500-599)
4,charmander,Lizard Pokémon,I,fire,,1,39,52,43,60,50,65,309,0.6,8.5,62,blaze,,solar-power,red,upright,mountain,medium-slow,"monster, dragon",False,False,False,45,70,20,1,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,False,23.6,1.21,95,110,177,132,88% Male / 12% Female,Below Average (300-399)
5,charmeleon,Flame Pokémon,I,fire,,1,58,64,58,80,65,80,405,1.1,19.0,142,blaze,,solar-power,red,upright,mountain,medium-slow,"monster, dragon",False,False,False,45,70,20,1,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,False,15.7,1.1,122,145,224,181,88% Male / 12% Female,Average (400-499)
6,charizard,Flame Pokémon,I,fire,flying,2,78,84,78,109,85,100,534,1.7,90.5,240,blaze,,solar-power,red,upright,mountain,medium-slow,"monster, dragon",False,False,False,45,70,20,1,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,True,31.3,1.08,162,194,293,241,88% Male / 12% Female,Strong (500-599)
7,squirtle,Tiny Turtle Pokémon,I,water,,1,44,48,65,50,64,43,314,0.5,9.0,63,torrent,,rain-dish,blue,upright,waters-edge,medium-slow,"monster, water1",False,False,False,45,70,20,1,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,False,36.0,0.74,113,114,141,173,88% Male / 12% Female,Below Average (300-399)
8,wartortle,Turtle Pokémon,I,water,,1,59,63,80,65,80,58,405,1.0,22.5,142,torrent,,rain-dish,blue,upright,waters-edge,medium-slow,"monster, water1",False,False,False,45,70,20,1,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,False,22.5,0.79,143,145,186,219,88% Male / 12% Female,Average (400-499)
9,blastoise,Shellfish Pokémon,I,water,,1,79,83,100,85,105,78,530,1.6,85.5,239,torrent,,rain-dish,blue,upright,waters-edge,medium-slow,"monster, water1",False,False,False,45,70,20,1,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,False,33.4,0.83,183,190,246,284,88% Male / 12% Female,Strong (500-599)
10,caterpie,Worm Pokémon,I,bug,,1,45,30,35,20,20,45,195,0.3,2.9,39,shield-dust,,run-away,green,armor,forest,medium,bug,False,False,False,255,70,15,4,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,False,32.2,0.86,65,40,95,100,50% Male / 50% Female,Weak (<300)
